
Gurobi 11.0.3 (linux64, Java) logging started sáb 30 nov 2024 07:07:15 -03

Set parameter Username
Academic license - for non-commercial use only - expires 2025-10-10
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 2.5029985070196468e-07
Set parameter Threads to value 2
Set parameter NodefileDir to value "/home/ps12398/experiment_epec/goalProgrammingMarcos/"
Set parameter NodefileStart to value 1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Optimize a model with 58003 rows, 39068 columns and 204825 nonzeros
Model fingerprint: 0x6ae0a956
Model has 144 quadratic constraints
Variable types: 19466 continuous, 19602 integer (139 binary)
Coefficient statistics:
  Matrix range     [7e-03, 6e+05]
  QMatrix range    [7e-03, 2e+04]
  QLMatrix range   [1e+00, 2e+04]
  Objective range  [2e+00, 8e+06]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 4e+05]
  QRHS range       [8e-02, 8e-02]
Presolve removed 57813 rows and 38465 columns
Presolve time: 0.11s
Presolved: 637 rows, 749 columns, 6578 nonzeros
Presolved model has 2 SOS constraint(s)
Presolved model has 139 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 427 continuous, 322 integer (141 binary)
Found heuristic solution: objective 542893.08140

Root relaxation: objective 1.511987e+05, 89 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 151198.728    0   65 542893.081 151198.728  72.1%     -    0s
H    0     0                    511870.93228 151198.728  70.5%     -    0s
     0     0 200107.566    0   66 511870.932 200107.566  60.9%     -    0s
H    0     0                    366894.67649 200124.357  45.5%     -    0s
 1959119 1567428 239271.751   89   64 254516.656 236014.987  7.27%   3.0  815s
 1969655 1576617 242040.568   96   59 254516.656 236015.325  7.27%   3.0  820s
 1979797 1584038     cutoff  140      254516.656 236015.664  7.27%   3.0  825s
 1988986 1592596     cutoff  213      254516.656 236015.678  7.27%   3.0  830s
 1997839 1598257 241255.447   89   60 254516.656 236016.350  7.27%   3.0  835s
 2009620 1607744 248684.468  147   51 254516.656 236016.757  7.27%   3.0  840s
 2017160 1612045     cutoff  174      254516.656 236017.049  7.27%   3.0  845s
 2027617 1618766 249657.592  152   52 254516.656 236017.193  7.27%   3.0  850s
 2039164 1626952     cutoff  148      254516.656 236017.882  7.27%   3.0  855s
 2045336 1629810     cutoff  148      254516.656 236018.306  7.27%   3.0  860s
 2056719 1639038     cutoff  159      254516.656 236018.728  7.27%   3.0  865s
 2066641 1644837 251028.955  180   46 254516.656 236018.958  7.27%   3.0  871s
 2074685 1650283 239732.528   83   62 254516.656 236019.394  7.27%   3.0  875s
 2085661 1657695 254189.412  135   50 254516.656 236019.938  7.27%   3.0  880s
 2091912 1661732 252794.193  139   48 254516.656 236020.059  7.27%   3.0  885s
 2103421 1669177 243341.439   96   62 254516.656 236020.694  7.27%   3.0  890s
 2114757 1677132 244257.781  102   61 254516.656 236021.210  7.27%   3.0  895s
 2120516 1681485 247792.531  153   52 254516.656 236021.242  7.27%   3.0  900s
 2131577 1688973 251297.326  129   49 254516.656 236021.964  7.27%   3.0  905s
 2140595 1694739 254376.669  151   48 254516.656 236022.427  7.27%   3.0  911s
 2149943 1701417 240201.757   91   63 254516.656 236023.016  7.27%   3.0  915s
 2162123 1710635 249403.126  123   53 254516.656 236023.503  7.27%   3.0  920s
 2169429 1715477 248348.440  139   52 254516.656 236023.941  7.27%   3.0  925s
 2180792 1723531     cutoff  148      254516.656 236024.587  7.27%   3.0  930s
